dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 100 12.txt,100,30,CGR,BLS,115.50761493917048,116.5258953106522,0.008738661640548121,0,0.0020283279987052083,112.88222607749853,0.9724240677095564,100,0.1,
Geo,Geo 100 12.txt,100,30,CGR,FLS,116.5258953106522,116.5258953106522,0.0,1,0.019796089000301435,114.64010667666714,1.0771104443028587,100,0.1,
Geo,Geo 100 12.txt,100,30,CGR2,BLS,115.32793203143953,116.5258953106522,0.010280661444556697,0,0.0013414440036285669,112.72301921361623,1.1460707768578025,100,,0.9
Geo,Geo 100 12.txt,100,30,CGR2,FLS,116.5258953106522,116.5258953106522,0.0,1,0.017432832996710203,114.95968191115625,1.1174804719866154,100,,0.9
Geo,Geo 100 13.txt,100,30,CGR,BLS,28.581682142887107,29.83045137845435,0.04186223063554414,0,0.0013836230000015349,26.210875341173168,0.907459199014685,100,0.1,
Geo,Geo 100 13.txt,100,30,CGR,FLS,29.69378617724735,29.83045137845435,0.004581399036613561,0,0.04014515700226184,27.960477333117765,0.7462605583778334,100,0.1,
Geo,Geo 100 13.txt,100,30,CGR2,BLS,27.834947749321103,29.83045137845435,0.06689485196910361,0,0.0016090170020470395,26.447445643981524,0.6354941409684627,100,,0.9
Geo,Geo 100 13.txt,100,30,CGR2,FLS,29.83045137845435,29.83045137845435,0.0,1,0.02641482000122778,27.88498101026312,0.7518126335844599,100,,0.9
Geo,Geo 100 14.txt,100,30,CGR,BLS,53.86866680829135,54.08348170590176,0.00397191325030704,0,0.0018363120005233213,50.77451376759145,1.6597108001010292,100,0.1,
Geo,Geo 100 14.txt,100,30,CGR,FLS,54.08348170590176,54.08348170590176,0.0,1,0.023023861998226494,53.29776328716794,0.7799951793325972,100,0.1,
Geo,Geo 100 14.txt,100,30,CGR2,BLS,54.08348170590176,54.08348170590176,0.0,1,0.0014774320012656973,51.31910400195156,1.704016655112354,100,,0.9
Geo,Geo 100 14.txt,100,30,CGR2,FLS,54.08348170590176,54.08348170590176,0.0,1,0.020624625001219102,53.096014325807595,1.0681835016392696,100,,0.9
Geo,Geo 100 15.txt,100,30,CGR,BLS,144.47778671245527,144.47778671245527,0.0,1,0.002434308003867045,140.36700158050368,1.8771269612513692,100,0.1,
Geo,Geo 100 15.txt,100,30,CGR,FLS,144.47778671245527,144.47778671245527,0.0,1,0.024167473001289182,143.69763205568978,1.1461753227701201,100,0.1,
Geo,Geo 100 15.txt,100,30,CGR2,BLS,144.47778671245527,144.47778671245527,0.0,1,0.0016064110002480447,140.77598647115943,1.8462636386538018,100,,0.9
Geo,Geo 100 15.txt,100,30,CGR2,FLS,144.47778671245527,144.47778671245527,0.0,1,0.020147334000794218,143.26056823479172,1.3537748909755345,100,,0.9
Geo,Geo 100 16.txt,100,30,CGR,BLS,122.16206905385819,122.37612756776825,0.0017491852223508347,0,0.0018926349974935875,119.1933859034361,2.002594418434087,100,0.1,
Geo,Geo 100 16.txt,100,30,CGR,FLS,122.37612756776825,122.37612756776825,0.0,1,0.020829841995146127,121.56997025710442,0.6547804277343117,100,0.1,
Geo,Geo 100 16.txt,100,30,CGR2,BLS,121.88865000780689,122.37612756776825,0.003983436718010318,0,0.0015008120017591864,119.37680108290893,1.9560661305828482,100,,0.9
Geo,Geo 100 16.txt,100,30,CGR2,FLS,122.37612756776825,122.37612756776825,0.0,1,0.01794926600297913,121.40601823927746,0.633202921769571,100,,0.9
Geo,Geo 100 17.txt,100,30,CGR,BLS,130.05607286916972,130.34825145332064,0.002241522850466088,0,0.0019350480037974194,125.86830172303085,1.7698114032430026,100,0.1,
Geo,Geo 100 17.txt,100,30,CGR,FLS,130.34825145332064,130.34825145332064,0.0,1,0.02114126999571454,128.79164889538757,1.6357512427591863,100,0.1,
Geo,Geo 100 17.txt,100,30,CGR2,BLS,130.05607286916972,130.34825145332064,0.002241522850466088,0,0.0014287450019037351,125.86509461891609,1.781677842612078,100,,0.9
Geo,Geo 100 17.txt,100,30,CGR2,FLS,130.34825145332064,130.34825145332064,0.0,1,0.018014390996540897,128.1750314474937,2.0203652975530715,100,,0.9
