instance,algo,param_name,param_value,run_id,seed,objective
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,13,12357,23.68180719804275
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,14,12358,36.36997127275308
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,15,12359,37.76680957850874
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,16,12360,15.624391845096152
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,17,12361,42.86925373572393
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,18,12362,42.007297367782385
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,19,12363,15.707225295687401
instances\Geo\Geo 100 1.txt,GRC,alpha,1.0,20,12364,48.49638386592708
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,1,12345,62.223775215254044
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,2,12346,73.48210832179298
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,3,12347,71.8071211818891
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,4,12348,53.962885266677894
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,5,12349,64.32971982745272
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,6,12350,67.63779109248453
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,7,12351,65.11461013523751
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,8,12352,63.208301139681154
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,9,12353,68.69089056652756
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,10,12354,67.39570901669218
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,11,12355,66.43127265151229
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,12,12356,60.83713066426393
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,13,12357,69.21842238027658
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,14,12358,62.69868025122091
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,15,12359,67.8022229893971
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,16,12360,63.09619406832991
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,17,12361,68.69089056652756
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,18,12362,58.19789522264916
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,19,12363,74.01855328939567
instances\Geo\Geo 100 1.txt,GRC2,beta,0.1,20,12364,73.80749849587515
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,1,12345,79.39064392595732
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,2,12346,66.50980831884448
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,3,12347,76.52971966148274
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,4,12348,75.17044316119876
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,5,12349,73.80749849587515
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,6,12350,74.38540253411014
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,7,12351,71.86798062198176
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,8,12352,72.1416251390601
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,9,12353,81.8020239965768
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,10,12354,76.54896943565198
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,11,12355,71.47527344618697
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,12,12356,73.7334140276063
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,13,12357,73.10267196988846
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,14,12358,69.82797540715794
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,15,12359,80.92125314815507
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,16,12360,68.98395610505456
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,17,12361,71.18585748504225
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,18,12362,73.21454786484344
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,19,12363,75.54181249550486
instances\Geo\Geo 100 1.txt,GRC2,beta,0.2,20,12364,73.11016898630432
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,1,12345,74.25754659166647
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,2,12346,71.70103768012773
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,3,12347,64.66362020055361
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,4,12348,73.43111220122073
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,5,12349,73.11016898630432
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,6,12350,73.11016898630432
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,7,12351,80.64645795546996
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,8,12352,75.68144131903384
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,9,12353,73.43111220122073
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,10,12354,72.74495967469011
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,11,12355,73.48210832179298
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,12,12356,77.2586020283657
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,13,12357,75.68144131903384
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,14,12358,81.5859972141463
instances\Geo\Geo 100 1.txt,GRC2,beta,0.3,15,12359,74.04699887091671
