dataset,instance,n,m,frac,method,best_method_of,best_global_of,relative_dev,is_best,reps,time_limit_s,alpha,avg_best_of,std_best_of,avg_time_per_rep_s,es_size,time_doing_grasp
Geo,Geo 100 6.txt,100,10,0.1,GRASP,36.52406610024951,36.52406610024951,0.0,1,3,15.0,0.1,36.52406610024951,0.0,15.001700401306152,,
Geo,Geo 100 6.txt,100,10,0.1,GRASP_PR,36.52406610024951,36.52406610024951,0.0,1,3,15.0,0.1,36.52406610024951,0.0,15.000450054804483,10,0.6
Geo,Geo 100 7.txt,100,10,0.1,GRASP,189.20910948327403,189.20910948327403,0.0,1,3,15.0,0.1,189.20910948327403,0.0,15.001824537913004,,
Geo,Geo 100 7.txt,100,10,0.1,GRASP_PR,189.20910948327403,189.20910948327403,0.0,1,3,15.0,0.1,189.20910948327403,0.0,15.000414371490479,10,0.6
Geo,Geo 100 8.txt,100,10,0.1,GRASP,110.0244160784281,110.0244160784281,0.0,1,3,15.0,0.1,110.0244160784281,0.0,15.001113255818685,,
Geo,Geo 100 8.txt,100,10,0.1,GRASP_PR,110.0244160784281,110.0244160784281,0.0,1,3,15.0,0.1,110.0244160784281,0.0,15.000625610351562,10,0.6
Geo,Geo 100 9.txt,100,10,0.1,GRASP,141.2358864095616,141.2358864095616,0.0,1,3,15.0,0.1,141.2358864095616,0.0,15.001562674840292,,
Geo,Geo 100 9.txt,100,10,0.1,GRASP_PR,141.2358864095616,141.2358864095616,0.0,1,3,15.0,0.1,141.2358864095616,0.0,15.000694433848063,10,0.6
Geo,Geo 100 10.txt,100,10,0.1,GRASP,163.6755990871439,163.6755990871439,0.0,1,3,15.0,0.1,163.6755990871439,0.0,15.001563787460327,,
Geo,Geo 100 10.txt,100,10,0.1,GRASP_PR,163.6755990871439,163.6755990871439,0.0,1,3,15.0,0.1,163.6755990871439,0.0,15.000517050425211,10,0.6
Geo,Geo 100 11.txt,100,30,0.3,GRASP,102.19418556229365,102.19418556229365,0.0,1,3,15.0,0.1,102.19418556229364,0.0,15.004154284795126,,
Geo,Geo 100 11.txt,100,30,0.3,GRASP_PR,102.19418556229365,102.19418556229365,0.0,1,3,15.0,0.1,102.19418556229364,0.0,15.001765886942545,10,0.6
Geo,Geo 100 12.txt,100,30,0.3,GRASP,117.47992279564289,117.47992279564289,0.0,1,3,15.0,0.1,116.84390447231577,0.4497328693835091,15.01162838935852,,
Geo,Geo 100 12.txt,100,30,0.3,GRASP_PR,117.47992279564289,117.47992279564289,0.0,1,3,15.0,0.1,116.84390447231577,0.4497328693835091,15.001296440760294,10,0.6
Geo,Geo 100 13.txt,100,30,0.3,GRASP,29.83045137845435,29.83045137845435,0.0,1,3,15.0,0.1,29.830451378454352,0.0,15.01341970761617,,
Geo,Geo 100 13.txt,100,30,0.3,GRASP_PR,29.83045137845435,29.83045137845435,0.0,1,3,15.0,0.1,29.830451378454352,0.0,15.00271733601888,10,0.6
Geo,Geo 100 14.txt,100,30,0.3,GRASP,54.08348170590176,54.08348170590176,0.0,1,3,15.0,0.1,54.08348170590176,0.0,15.015528122584024,,
Geo,Geo 100 14.txt,100,30,0.3,GRASP_PR,54.08348170590176,54.08348170590176,0.0,1,3,15.0,0.1,54.08348170590176,0.0,15.002325375874838,10,0.6
Geo,Geo 100 15.txt,100,30,0.3,GRASP,144.47778671245527,144.47778671245527,0.0,1,3,15.0,0.1,144.47778671245527,0.0,15.016143560409546,,
Geo,Geo 100 15.txt,100,30,0.3,GRASP_PR,144.47778671245527,144.47778671245527,0.0,1,3,15.0,0.1,144.47778671245527,0.0,15.001226822535196,10,0.6
Geo,Geo 100 16.txt,100,30,0.3,GRASP,122.37612756776825,122.37612756776825,0.0,1,3,15.0,0.1,122.37612756776825,0.0,15.008552551269531,,
Geo,Geo 100 16.txt,100,30,0.3,GRASP_PR,122.37612756776825,122.37612756776825,0.0,1,3,15.0,0.1,122.37612756776825,0.0,15.001652320226034,10,0.6
Geo,Geo 100 17.txt,100,30,0.3,GRASP,130.34825145332064,130.34825145332064,0.0,1,3,15.0,0.1,130.34825145332064,0.0,15.013373374938965,,
Geo,Geo 100 17.txt,100,30,0.3,GRASP_PR,130.34825145332064,130.34825145332064,0.0,1,3,15.0,0.1,130.34825145332064,0.0,15.002293745676676,10,0.6
Geo,Geo 100 18.txt,100,30,0.3,GRASP,109.86908651486671,109.86908651486671,0.0,1,3,15.0,0.1,109.86908651486671,0.0,15.010788997014364,,
Geo,Geo 100 18.txt,100,30,0.3,GRASP_PR,109.86908651486671,109.86908651486671,0.0,1,3,15.0,0.1,109.86908651486671,0.0,15.002878348032633,10,0.6
Geo,Geo 100 19.txt,100,30,0.3,GRASP,152.20673086120834,152.20673086120834,0.0,1,3,15.0,0.1,152.20673086120834,0.0,15.017411390940348,,
Geo,Geo 100 19.txt,100,30,0.3,GRASP_PR,152.20673086120834,152.20673086120834,0.0,1,3,15.0,0.1,152.20673086120834,0.0,15.002662579218546,10,0.6
Geo,Geo 100 20.txt,100,30,0.3,GRASP,140.6048997299596,140.6048997299596,0.0,1,3,15.0,0.1,140.6048997299596,0.0,15.013239781061808,,
