dataset,instance,n,m,alpha,best_of,avg_of,std_of,iters,fls_max_iter
Geo,Geo 100 14.txt,100,10,0.2,89.7323084135261,86.76955723736936,1.7824584713143174,100,200
Geo,Geo 100 14.txt,100,10,0.3,89.7323084135261,86.71480744967792,1.9880599415777462,100,200
Geo,Geo 100 14.txt,100,10,0.4,89.7323084135261,86.37845046600376,2.2684417669343806,100,200
Geo,Geo 100 14.txt,100,10,0.5,89.7323084135261,86.24010137465477,2.1876542052844887,100,200
Geo,Geo 100 14.txt,100,10,0.6,89.7323084135261,86.75445621607626,1.731634866550485,100,200
Geo,Geo 100 14.txt,100,10,0.7,89.7323084135261,86.7312825592088,1.8436617332462657,100,200
Geo,Geo 100 14.txt,100,10,0.8,89.7323084135261,86.83293434251047,1.9600354131862294,100,200
Geo,Geo 100 14.txt,100,10,0.9,89.7323084135261,86.69371420154481,1.8890736127015562,100,200
Geo,Geo 100 15.txt,100,10,0.1,174.2604185450584,171.65874281541545,1.9539481611230887,100,200
Geo,Geo 100 15.txt,100,10,0.2,174.2604185450584,172.08260033469185,1.851225950834288,100,200
Geo,Geo 100 15.txt,100,10,0.3,174.2604185450584,171.78516182704806,2.043808536526329,100,200
Geo,Geo 100 15.txt,100,10,0.4,174.2604185450584,171.95332897739038,2.077484985836919,100,200
Geo,Geo 100 15.txt,100,10,0.5,174.2604185450584,172.03987592409032,1.8985228291193836,100,200
Geo,Geo 100 15.txt,100,10,0.6,174.2604185450584,171.89589142049823,2.0780122489459187,100,200
Geo,Geo 100 15.txt,100,10,0.7,174.2604185450584,172.20857937663675,1.822684084566168,100,200
Geo,Geo 100 15.txt,100,10,0.8,174.2604185450584,172.22810282859734,2.0254424180822324,100,200
Geo,Geo 100 15.txt,100,10,0.9,174.2604185450584,172.10675227774692,2.0024334297903588,100,200
Geo,Geo 100 16.txt,100,10,0.1,155.70433791002012,154.17631135820318,1.6368880093220588,100,200
Geo,Geo 100 16.txt,100,10,0.2,155.70433791002012,153.877264116874,1.9046271907329966,100,200
Geo,Geo 100 16.txt,100,10,0.3,155.70433791002012,154.06216543262258,1.70220538098972,100,200
Geo,Geo 100 16.txt,100,10,0.4,155.70433791002012,153.95371697770992,1.7169476932600498,100,200
Geo,Geo 100 16.txt,100,10,0.5,155.70433791002012,153.64562746072295,1.825722624525476,100,200
Geo,Geo 100 16.txt,100,10,0.6,155.70433791002012,154.01888036444723,1.6117421033216655,100,200
Geo,Geo 100 16.txt,100,10,0.7,155.70433791002012,153.97088376632155,1.9385888153803361,100,200
Geo,Geo 100 16.txt,100,10,0.8,155.70433791002012,153.87291712996452,1.6626147124426773,100,200
Geo,Geo 100 16.txt,100,10,0.9,155.70433791002012,153.95865529343328,1.5736346185842238,100,200
Geo,Geo 100 17.txt,100,10,0.1,162.54234060680662,158.6829225445789,2.193603295013178,100,200
Geo,Geo 100 17.txt,100,10,0.2,162.54234060680662,158.8024401020738,2.154471249424314,100,200
Geo,Geo 100 17.txt,100,10,0.3,162.54234060680662,159.05231662801742,2.30914011753837,100,200
Geo,Geo 100 17.txt,100,10,0.4,162.54234060680662,158.9623913921637,2.406494586744679,100,200
Geo,Geo 100 17.txt,100,10,0.5,162.54234060680662,158.63388139658954,1.9775500061090734,100,200
Geo,Geo 100 17.txt,100,10,0.6,162.54234060680662,159.04568144556387,2.311553167345113,100,200
Geo,Geo 100 17.txt,100,10,0.7,162.54234060680662,158.9034196558525,2.222688709566874,100,200
Geo,Geo 100 17.txt,100,10,0.8,162.54234060680662,158.90680711211087,2.3491209663284076,100,200
Geo,Geo 100 17.txt,100,10,0.9,162.54234060680662,158.8142234627355,2.1052329394312133,100,200
Geo,Geo 100 18.txt,100,10,0.1,148.10587399288445,144.86990782324932,2.290304211307724,100,200
Geo,Geo 100 18.txt,100,10,0.2,148.10587399288445,145.34133531149388,2.267622412640589,100,200
Geo,Geo 100 18.txt,100,10,0.3,148.10587399288445,145.22125926280782,2.1838582138569738,100,200
Geo,Geo 100 18.txt,100,10,0.4,148.10587399288445,145.17232916956152,2.0834920913831443,100,200
Geo,Geo 100 18.txt,100,10,0.5,148.10587399288445,144.91143086100428,2.2016669883515103,100,200
Geo,Geo 100 18.txt,100,10,0.6,148.10587399288445,144.8506444608746,2.478320248799565,100,200
Geo,Geo 100 18.txt,100,10,0.7,148.10587399288445,145.120924401028,2.284249619662703,100,200
Geo,Geo 100 18.txt,100,10,0.8,148.10587399288445,144.97090119810792,2.2476514224216544,100,200
Geo,Geo 100 18.txt,100,10,0.9,148.10587399288445,144.80552441899727,2.24047917964415,100,200
Geo,Geo 100 1.txt,100,30,0.1,54.93139905753977,52.56268834477721,1.2258561845135316,100,200
Geo,Geo 100 1.txt,100,30,0.2,54.93139905753977,52.46524949021737,1.4926828923772115,100,200
Geo,Geo 100 1.txt,100,30,0.3,54.93139905753977,52.93050615821641,1.3540764314722453,100,200
Geo,Geo 100 1.txt,100,30,0.4,54.93139905753977,52.80000020846447,1.4119814624101996,100,200
Geo,Geo 100 1.txt,100,30,0.5,54.79979598167926,52.62662950293549,1.2924186417382322,100,200
Geo,Geo 100 1.txt,100,30,0.6,54.93139905753977,52.60650601438386,1.3408547553670047,100,200
Geo,Geo 100 1.txt,100,30,0.7,55.4623448244696,52.82942496844236,1.2607575554396035,100,200
Geo,Geo 100 1.txt,100,30,0.8,54.93139905753977,52.71362300849208,1.4499554387101559,100,200
Geo,Geo 100 1.txt,100,30,0.9,54.93139905753977,53.04944573844161,1.3012946033089008,100,200
Geo,Geo 100 10.txt,100,30,0.1,131.60364685538087,130.7005102942025,0.7625592240292883,100,200
Geo,Geo 100 10.txt,100,30,0.2,131.60364685538087,130.45248235931257,0.9567897426483118,100,200
Geo,Geo 100 10.txt,100,30,0.3,131.60364685538087,130.77603991892448,0.7372114372704522,100,200
Geo,Geo 100 10.txt,100,30,0.4,131.60364685538087,130.58360710877852,1.014488652948929,100,200
