dataset,instance,n,m,frac,alpha,time_limit_s,runs,es_size,time_doing_grasp,best_es_of,best_global_of,relative_dev,is_best,avg_of,std_of
Geo,Geo 250 11.txt,250,75,0.3,0.1,15,3,10,0.6,31.006606911257702,31.068244241116894,0.0019839334782111215,0,30.904343982895146,0.1446216202183136
Geo,Geo 250 11.txt,250,75,0.3,0.1,15,3,15,0.6,30.69816860117838,31.068244241116894,0.011911701126925628,0,30.673956866073453,0.034240564153974716
Geo,Geo 250 12.txt,250,75,0.3,0.1,15,3,5,0.6,93.48180779409957,93.48180779409957,0.0,1,93.25219788102686,0.2482057619354689
Geo,Geo 250 12.txt,250,75,0.3,0.1,15,3,10,0.6,93.48180779409957,93.48180779409957,0.0,1,92.9912764191484,0.34685806161272664
Geo,Geo 250 12.txt,250,75,0.3,0.1,15,3,15,0.6,93.44226772967832,93.48180779409957,0.00042297068653545565,0,93.13205723583782,0.26016301842995826
Geo,Geo 250 13.txt,250,75,0.3,0.1,15,3,5,0.6,144.9366466537845,144.9366466537845,0.0,1,144.54438289158514,0.28012473959851697
Geo,Geo 250 13.txt,250,75,0.3,0.1,15,3,10,0.6,144.39622663191568,144.9366466537845,0.003728663759964952,0,144.3322591366754,0.045231849659921504
Geo,Geo 250 13.txt,250,75,0.3,0.1,15,3,15,0.6,144.9366466537845,144.9366466537845,0.0,1,144.40800932976023,0.45968931039627825
Geo,Geo 250 14.txt,250,75,0.3,0.1,15,3,5,0.6,70.09137828090981,70.09137828090981,0.0,1,69.99761910821121,0.066297746813622
Geo,Geo 250 14.txt,250,75,0.3,0.1,15,3,10,0.6,69.9507395218619,70.09137828090981,0.0020065058284951345,0,69.823424092045,0.13109466982952342
Geo,Geo 250 14.txt,250,75,0.3,0.1,15,3,15,0.6,69.9507395218619,70.09137828090981,0.0020065058284951345,0,69.79817710204706,0.1256251839854361
Geo,Geo 250 15.txt,250,75,0.3,0.1,15,3,5,0.6,142.54393545552577,142.54393545552577,0.0,1,142.46709465550597,0.05433465076580991
Geo,Geo 250 15.txt,250,75,0.3,0.1,15,3,10,0.6,142.42867425549605,142.54393545552577,0.0008086012194161918,0,142.19604232774236,0.32899122727026187
Geo,Geo 250 15.txt,250,75,0.3,0.1,15,3,15,0.6,142.42867425549605,142.54393545552577,0.0008086012194161918,0,142.42867425549605,0.0
Geo,Geo 250 16.txt,250,75,0.3,0.1,15,3,5,0.6,108.04585787030845,108.04585787030845,0.0,1,107.54662365037716,0.3530119023138056
Geo,Geo 250 16.txt,250,75,0.3,0.1,15,3,10,0.6,107.06169360405652,108.04585787030845,0.009108764423280968,0,106.91651331562304,0.1808149850669171
Geo,Geo 250 16.txt,250,75,0.3,0.1,15,3,15,0.6,107.29700654041149,108.04585787030845,0.006930865695895901,0,107.19753727327775,0.12166153707805828
Geo,Geo 250 17.txt,250,75,0.3,0.1,15,3,5,0.6,123.77985344503806,124.25339168273817,0.00381106890755319,0,123.57132968936018,0.14744856167831127
Geo,Geo 250 17.txt,250,75,0.3,0.1,15,3,10,0.6,124.25339168273817,124.25339168273817,0.0,1,123.72917576859356,0.37067662769756204
Geo,Geo 250 17.txt,250,75,0.3,0.1,15,3,15,0.6,123.77985344503806,124.25339168273817,0.00381106890755319,0,123.42363395587445,0.2906487320635519
Geo,Geo 250 18.txt,250,75,0.3,0.1,15,3,5,0.6,148.76186819516758,148.76186819516758,0.0,1,148.41673447406959,0.2701301177155415
Geo,Geo 250 18.txt,250,75,0.3,0.1,15,3,10,0.6,148.76186819516758,148.76186819516758,0.0,1,148.2786314973893,0.48020133605355086
Geo,Geo 250 18.txt,250,75,0.3,0.1,15,3,15,0.6,147.62379201501147,148.76186819516758,0.007650321913563294,0,147.62379201501147,0.0
Geo,Geo 250 19.txt,250,75,0.3,0.1,15,3,5,0.6,134.28687171495886,134.28687171495886,0.0,1,134.01980776621613,0.3776854583328697
Geo,Geo 250 19.txt,250,75,0.3,0.1,15,3,10,0.6,133.81341452980976,134.28687171495886,0.0035257146071142,0,133.7299921798874,0.11797701866521983
Geo,Geo 250 19.txt,250,75,0.3,0.1,15,3,15,0.6,133.56134749831378,134.28687171495886,0.005402793343679213,0,133.4750722062454,0.07514930784321827
Geo,Geo 250 20.txt,250,75,0.3,0.1,15,3,5,0.6,147.8319546269661,147.8319546269661,0.0,1,147.73830732754502,0.1324372809209105
Geo,Geo 250 20.txt,250,75,0.3,0.1,15,3,10,0.6,147.8319546269661,147.8319546269661,0.0,1,147.38902092357648,0.3435675118629592
Geo,Geo 250 20.txt,250,75,0.3,0.1,15,3,15,0.6,147.1707317693151,147.8319546269661,0.004472800615533483,0,146.76496304796186,0.455013200717749
Geo,Geo 500 1.txt,500,50,0.1,0.1,15,3,5,0.6,123.53096145350389,123.53096145350389,0.0,1,123.37162606169814,0.11266713602886783
Geo,Geo 500 1.txt,500,50,0.1,0.1,15,3,10,0.6,123.29195836579525,123.53096145350389,0.0019347626287082515,0,123.1971268929364,0.06705597752841257
